dataset,model,codec,quality,bpp,baseline_accuracy,compressed_accuracy,accuracy_delta,misclassifications,false_positives,false_negatives,total_images
RESISC45,ResNet-18,jpeg,q3,0.446,98.44,98.52,-0.08,-7,7,0,7700
RESISC45,ResNet-18,jpeg,q4,0.592,98.44,98.52,-0.08,-7,7,0,7700
RESISC45,ResNet-18,jpeg,q5,0.890,98.44,98.53,-0.09,-8,8,0,7700
RESISC45,ResNet-18,jpeg,q6,1.199,98.44,98.52,-0.08,-7,7,0,7700
RESISC45,ResNet-18,jpeg2000,q1,0.100,98.44,92.05,6.39,491,0,491,7700
RESISC45,ResNet-18,jpeg2000,q2,0.150,98.44,95.82,2.62,201,0,201,7700
RESISC45,ResNet-18,jpeg2000,q3,0.250,98.44,97.38,1.06,81,0,81,7700
RESISC45,ResNet-18,jpeg2000,q4,0.400,98.44,98.14,0.30,22,0,22,7700
RESISC45,ResNet-18,jpeg2000,q5,0.700,98.44,98.51,-0.07,-6,6,0,7700
RESISC45,ResNet-18,jpeg2000,q6,0.970,98.44,98.51,-0.07,-6,6,0,7700
RESISC45,ResNet-18,msillm,q1,0.040,98.44,95.21,3.23,248,0,248,7700
RESISC45,ResNet-18,msillm,q2,0.070,98.44,97.00,1.44,110,0,110,7700
RESISC45,ResNet-18,msillm,q3,0.140,98.44,97.94,0.50,38,0,38,7700
RESISC45,ResNet-18,msillm,q4,0.280,98.44,98.21,0.23,17,0,17,7700
RESISC45,ResNet-18,msillm,q5,0.450,98.44,98.38,0.06,4,0,4,7700
RESISC45,ResNet-18,msillm,q6,0.900,98.44,98.43,0.01,0,0,0,7700
RESISC45,ResNet-18,jpegai,q1,0.130,98.44,91.19,7.25,557,0,557,7700
RESISC45,ResNet-18,jpegai,q2,0.250,98.44,94.84,3.60,276,0,276,7700
RESISC45,ResNet-18,jpegai,q3,0.500,98.44,97.42,1.02,78,0,78,7700
RESISC45,ResNet-18,jpegai,q4,0.750,98.44,97.94,0.50,38,0,38,7700
RESISC45,ResNet-18,jpegai,q5,1.000,98.44,98.27,0.17,12,0,12,7700
RESISC45,ResNet-18,jpegai,q6,1.500,98.44,98.48,-0.04,-4,4,0,7700
RESISC45,ResNet-18,cheng2020-attn,q1,0.127,98.44,82.77,15.67,1206,0,1206,7700
RESISC45,ResNet-18,cheng2020-attn,q2,0.178,98.44,89.56,8.88,683,0,683,7700
RESISC45,ResNet-18,cheng2020-attn,q3,0.259,98.44,94.10,4.34,333,0,333,7700
RESISC45,ResNet-18,cheng2020-attn,q4,0.386,98.44,96.87,1.57,120,0,120,7700
RESISC45,ResNet-18,cheng2020-attn,q5,0.529,98.44,97.90,0.54,41,0,41,7700
RESISC45,ResNet-18,cheng2020-attn,q6,0.721,98.44,98.21,0.23,17,0,17,7700
RESISC45,ViT-S/16,jpeg,q1,0.257,99.60,96.40,3.20,246,0,246,7700
RESISC45,ViT-S/16,jpeg,q2,0.342,99.60,99.09,0.51,39,0,39,7700
RESISC45,ViT-S/16,jpeg,q3,0.446,99.60,99.43,0.17,13,0,13,7700
RESISC45,ViT-S/16,jpeg,q4,0.592,99.60,99.49,0.11,8,0,8,7700
RESISC45,ViT-S/16,jpeg,q5,0.890,99.60,99.51,0.09,7,0,7,7700
RESISC45,ViT-S/16,jpeg,q6,1.199,99.60,99.48,0.12,9,0,9,7700
RESISC45,ViT-S/16,jpeg2000,q1,0.100,99.60,96.79,2.81,216,0,216,7700
RESISC45,ViT-S/16,jpeg2000,q2,0.150,99.60,97.82,1.78,137,0,137,7700
RESISC45,ViT-S/16,jpeg2000,q3,0.250,99.60,98.77,0.83,64,0,64,7700
RESISC45,ViT-S/16,jpeg2000,q4,0.400,99.60,99.22,0.38,29,0,29,7700
RESISC45,ViT-S/16,jpeg2000,q5,0.700,99.60,99.42,0.18,14,0,14,7700
RESISC45,ViT-S/16,jpeg2000,q6,0.970,99.60,99.40,0.20,15,0,15,7700
RESISC45,ViT-S/16,msillm,q1,0.040,99.60,95.94,3.66,282,0,282,7700
RESISC45,ViT-S/16,msillm,q2,0.070,99.60,98.65,0.95,73,0,73,7700
RESISC45,ViT-S/16,msillm,q3,0.140,99.60,99.22,0.38,29,0,29,7700
RESISC45,ViT-S/16,msillm,q4,0.280,99.60,99.32,0.28,21,0,21,7700
RESISC45,ViT-S/16,msillm,q5,0.450,99.60,99.40,0.20,15,0,15,7700
RESISC45,ViT-S/16,msillm,q6,0.900,99.60,99.49,0.11,8,0,8,7700
RESISC45,ViT-S/16,jpegai,q1,0.130,99.60,94.25,5.35,412,0,412,7700
RESISC45,ViT-S/16,jpegai,q2,0.250,99.60,98.45,1.15,88,0,88,7700
RESISC45,ViT-S/16,jpegai,q3,0.500,99.60,99.29,0.31,24,0,24,7700
RESISC45,ViT-S/16,jpegai,q4,0.750,99.60,99.42,0.18,14,0,14,7700
RESISC45,ViT-S/16,jpegai,q5,1.000,99.60,99.45,0.15,11,0,11,7700
RESISC45,ViT-S/16,jpegai,q6,1.500,99.60,99.49,0.11,8,0,8,7700
RESISC45,ViT-S/16,cheng2020-attn,q1,0.127,99.60,91.01,8.59,661,0,661,7700
RESISC45,ViT-S/16,cheng2020-attn,q2,0.178,99.60,94.08,5.52,425,0,425,7700
RESISC45,ViT-S/16,cheng2020-attn,q3,0.259,99.60,96.61,2.99,230,0,230,7700
RESISC45,ViT-S/16,cheng2020-attn,q4,0.386,99.60,98.68,0.92,71,0,71,7700
RESISC45,ViT-S/16,cheng2020-attn,q5,0.529,99.60,99.22,0.38,29,0,29,7700
RESISC45,ViT-S/16,cheng2020-attn,q6,0.721,99.60,99.47,0.13,10,0,10,7700
